team,elo
Spain,2106.2
Argentina,2081.2
France,2045.6
Brazil,1974.0
Portugal,1966.1
Colombia,1954.7
England,1952.0
Ecuador,1950.0
Netherlands,1934.2
Germany,1926.3
Morocco,1914.1
Japan,1913.1
Mexico,1906.1
Turkey,1904.2
Uruguay,1899.0
Croatia,1892.5
Belgium,1880.8
Italy,1876.7
Senegal,1872.1
Switzerland,1869.3
Paraguay,1859.6
Norway,1855.9
Denmark,1847.8
Ukraine,1830.4
Canada,1829.9
Iran,1825.5
South Korea,1814.7
Nigeria,1813.7
Australia,1813.0
Panama,1788.0
Egypt,1787.1
United States,1775.0
Venezuela,1765.2
Uzbekistan,1765.1
Chile,1757.4
Serbia,1756.8
Ivory Coast,1750.1
Czech Republic,1745.3
Slovenia,1745.3
Hungary,1737.3
Poland,1731.3
Iraq,1718.7
Peru,1712.5
Costa Rica,1694.9
Slovakia,1694.0
Tunisia,1690.2
Cameroon,1689.1
Bolivia,1687.1
Mali,1677.3
Honduras,1665.3
Romania,1650.5
New Zealand,1650.3
Saudi Arabia,1648.2
Jamaica,1643.8
South Africa,1612.9
Ghana,1570.8
Qatar,1554.0
Trinidad and Tobago,1531.0
China PR,1523.0
Kenya,1482.6
Indonesia,1453.9
