team,tla,coach,number,position,player,date_of_birth,caps,goals,club
Czech Republic,CZE,Miroslav Koubek,,1GK,Matěj Kovář,"(2000-05-17)May 17, 2000 (aged 26)",19,0,PSV Eindhoven
Czech Republic,CZE,Miroslav Koubek,,1GK,Jindřich Staněk,"(1996-04-27)April 27, 1996 (aged 30)",14,0,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,1GK,Lukáš Horníček,"(2002-07-13)July 13, 2002 (aged 23)",0,0,Braga
Czech Republic,CZE,Miroslav Koubek,,2DF,Vladimír Coufal,"(1992-08-22)August 22, 1992 (aged 33)",61,2,TSG Hoffenheim
Czech Republic,CZE,Miroslav Koubek,,2DF,Tomáš Holeš,"(1993-03-31)March 31, 1993 (aged 33)",39,2,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,2DF,Ladislav Krejčí(captain),"(1999-04-20)April 20, 1999 (aged 27)",25,5,Wolverhampton Wanderers
Czech Republic,CZE,Miroslav Koubek,,2DF,David Zima,"(2000-11-08)November 8, 2000 (aged 25)",24,1,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,2DF,Jaroslav Zelený,"(1992-08-20)August 20, 1992 (aged 33)",21,0,Sparta Prague
Czech Republic,CZE,Miroslav Koubek,,2DF,David Jurásek,"(2000-08-07)August 7, 2000 (aged 25)",16,1,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,2DF,David Douděra,"(1998-05-31)May 31, 1998 (aged 28)",15,2,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,2DF,Robin Hranáč,"(2000-01-29)January 29, 2000 (aged 26)",12,1,TSG Hoffenheim
Czech Republic,CZE,Miroslav Koubek,,2DF,Štěpán Chaloupek,"(2003-03-08)March 8, 2003 (aged 23)",3,0,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,3MF,Tomáš Souček,"(1995-02-27)February 27, 1995 (aged 31)",89,17,West Ham United
Czech Republic,CZE,Miroslav Koubek,,3MF,Vladimír Darida,"(1990-08-08)August 8, 1990 (aged 35)",78,8,Hradec Králové
Czech Republic,CZE,Miroslav Koubek,,3MF,Lukáš Provod,"(1996-10-23)October 23, 1996 (aged 29)",37,3,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,3MF,Michal Sadílek,"(1999-05-31)May 31, 1999 (aged 27)",33,1,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,3MF,Pavel Šulc,"(2000-12-29)December 29, 2000 (aged 25)",20,5,Lyon
Czech Republic,CZE,Miroslav Koubek,,3MF,Lukáš Červ,"(2001-04-10)April 10, 2001 (aged 25)",15,2,Viktoria Plzeň
Czech Republic,CZE,Miroslav Koubek,,3MF,Tomáš Ladra,"(1997-05-24)May 24, 1997 (aged 29)",1,0,Viktoria Plzeň
Czech Republic,CZE,Miroslav Koubek,,3MF,Pavel Bucha,"(1998-03-11)March 11, 1998 (aged 28)",0,0,FC Cincinnati
Czech Republic,CZE,Miroslav Koubek,,3MF,Hugo Sochůrek,"(2008-06-07)June 7, 2008 (aged 18)",0,0,Sparta Prague
Czech Republic,CZE,Miroslav Koubek,,3MF,Alexandr Sojka,"(2003-04-02)April 2, 2003 (aged 23)",0,0,Viktoria Plzeň
Czech Republic,CZE,Miroslav Koubek,,3MF,Denis Višinský,"(2003-03-21)March 21, 2003 (aged 23)",0,0,Viktoria Plzeň
Czech Republic,CZE,Miroslav Koubek,,4FW,Patrik Schick,"(1996-01-24)January 24, 1996 (aged 30)",52,25,Bayer Leverkusen
Czech Republic,CZE,Miroslav Koubek,,4FW,Adam Hložek,"(2002-07-25)July 25, 2002 (aged 23)",41,4,TSG Hoffenheim
Czech Republic,CZE,Miroslav Koubek,,4FW,Jan Kuchta,"(1997-01-08)January 8, 1997 (aged 29)",30,3,Sparta Prague
Czech Republic,CZE,Miroslav Koubek,,4FW,Tomáš Chorý,"(1995-01-26)January 26, 1995 (aged 31)",21,6,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,4FW,Mojmír Chytil,"(1999-04-29)April 29, 1999 (aged 27)",21,6,Slavia Prague
Czech Republic,CZE,Miroslav Koubek,,4FW,Christophe Kabongo,"(2003-08-27)August 27, 2003 (aged 22)",0,0,Mladá Boleslav
Mexico,MEX,Javier Aguirre,,1GK,Guillermo Ochoa,"(1985-07-13)July 13, 1985 (aged 40)",151,0,AEL Limassol
Mexico,MEX,Javier Aguirre,,1GK,Raúl Rangel,"(2000-02-25)February 25, 2000 (aged 26)",12,0,Guadalajara
Mexico,MEX,Javier Aguirre,,1GK,Carlos Acevedo,"(1996-04-19)April 19, 1996 (aged 30)",7,0,Santos Laguna
Mexico,MEX,Javier Aguirre,,1GK,José Antonio Rodríguez,"(1992-07-04)July 4, 1992 (aged 33)",2,0,Tijuana
Mexico,MEX,Javier Aguirre,,1GK,Carlos Moreno,"(1998-01-29)January 29, 1998 (aged 28)",0,0,Pachuca
Mexico,MEX,Javier Aguirre,,1GK,Alex Padilla,"(2003-09-01)September 1, 2003 (aged 22)",0,0,Athletic Bilbao
Mexico,MEX,Javier Aguirre,,2DF,Jesús Gallardo,"(1994-08-15)August 15, 1994 (aged 31)",119,3,Toluca
Mexico,MEX,Javier Aguirre,,2DF,César Montes,"(1997-02-24)February 24, 1997 (aged 29)",65,4,Lokomotiv Moscow
Mexico,MEX,Javier Aguirre,,2DF,Jorge Sánchez,"(1997-12-10)December 10, 1997 (aged 28)",57,3,PAOK
Mexico,MEX,Javier Aguirre,,2DF,Johan Vásquez,"(1998-10-22)October 22, 1998 (aged 27)",44,1,Genoa
Mexico,MEX,Javier Aguirre,,2DF,Israel Reyes,"(2000-05-23)May 23, 2000 (aged 26)",32,2,América
Mexico,MEX,Javier Aguirre,,2DF,Jesús Alberto Angulo,"(1998-01-30)January 30, 1998 (aged 28)",19,0,UANL
Mexico,MEX,Javier Aguirre,,2DF,Julián Araujo,"(2001-08-13)August 13, 2001 (aged 24)",16,0,Celtic
